"sku","special_from_date"
"108251","19/04/26"
"108253","19/04/26"
"108494","19/04/26"
"108496","19/04/26"
"108513","19/04/26"
"108520","19/04/26"
"108568","19/04/26"
"108569","19/04/26"
"108575","19/04/26"
"108696","19/04/26"
"108861","19/04/26"
"108874","19/04/26"
"108921","19/04/26"
"108924","19/04/26"
"108925","19/04/26"
"109022","19/04/26"
"109024","19/04/26"
"109025","19/04/26"
"109026","19/04/26"
"109027","19/04/26"
"109028","19/04/26"
"109030","19/04/26"
"109031","19/04/26"
"109032","19/04/26"
"109034","19/04/26"
"109035","19/04/26"
"109036","19/04/26"
"109042","19/04/26"
"109043","19/04/26"
"109059","19/04/26"
"109062","19/04/26"
"109064","19/04/26"
"109065","19/04/26"
"109067","19/04/26"
"109077","19/04/26"
"109090","19/04/26"
"109092","19/04/26"
"109095","19/04/26"
"109108","19/04/26"
"109109","19/04/26"
"109130","19/04/26"
"109131","19/04/26"
"109132","19/04/26"
"109134","19/04/26"
"109145","19/04/26"
"109185","19/04/26"
"109190","19/04/26"
"109214","19/04/26"
"109217","19/04/26"
"109241","19/04/26"
"109243","19/04/26"
"109246","19/04/26"
"109259","19/04/26"
"109338","19/04/26"
"109340","19/04/26"
"109347","19/04/26"
"109369","19/04/26"
"109372","19/04/26"
"247624","16/06/15"
"247625","19/04/26"
"247658","19/04/26"
"305252","19/04/26"
"120852","19/04/26"
"305170","19/04/26"
"485969","19/04/26"
"119643","19/04/26"
"201518","16/06/16"
"388464","19/04/26"
"484702","17/06/02"
"272170","16/06/27"
"559599","16/06/01"
"272179","16/06/27"
"272180","17/06/01"
"244529","19/08/26"
"219411","17/08/31"
"218909","19/04/26"
"412364","19/04/26"
"412363","19/04/26"
"219724","19/04/26"
"158083","19/04/26"
"595916","17/06/25"
"653980","17/03/27"
"613303","16/09/20"
"235452","19/04/26"
"119003","19/04/26"
"413109","19/04/26"
"218915","19/04/26"
"526256","19/04/26"
"653981","16/10/19"
"118587","17/09/04"
"614096","17/03/27"
"236037","19/04/26"
"235425","19/04/26"
"218706","19/08/29"
"136470","19/04/26"
"599279","17/03/22"
"271024","17/05/15"
"273048","17/11/21"
"159472","19/04/26"
"259884","19/04/26"
"158082","19/04/26"
"521815","19/04/26"
"234861","19/04/26"
"235424","19/04/26"
"235423","19/04/26"
"235613","19/04/26"
"235672","19/04/26"
"236230","19/04/26"
"235669","19/04/26"
"234862","19/04/26"
"236148","19/04/26"
"235663","19/04/26"
"235671","19/04/26"
"235926","19/04/26"
"236111","19/04/26"
"236150","19/04/26"
"235675","19/04/26"
"235414","19/04/26"
"235942","19/04/26"
"236069","19/04/26"
"236110","19/04/26"
"236070","19/04/26"
"236076","19/04/26"
"599346","17/03/27"
"648375","17/02/28"
"566076","17/03/29"
"672508","17/02/28"
"599351","17/03/27"
"648376","17/03/27"
"648364","17/03/21"
"598685","17/03/29"
"372513","17/06/08"
"648357","17/03/21"
"613594","17/03/02"
"613592","17/05/09"
"613591","17/05/09"
"609371","17/03/17"
"582326","17/03/20"
"582330","17/03/20"
"613584","17/03/20"
"613585","17/03/20"
"582325","17/03/20"
"599291","17/03/22"
"599292","17/03/22"
"599289","17/03/22"
"599290","17/03/22"
"294624","17/03/22"
"523166","17/03/22"
"294619","17/03/23"
"648517","17/03/23"
"598360","17/03/27"
"255276","19/04/26"
"613306","17/04/04"
"365131","19/04/26"
"118886","17/04/27"
"582329","17/05/04"
"704435","17/05/05"
"527562","17/09/01"
"476023","19/04/26"
"582328","17/05/15"
"582327","17/05/15"
"317489","17/06/02"
unexpecteditemFBA10YFM2L,"17/05/16"
"224055","19/04/26"
"420604","20/09/22"
"705525","17/05/31"
"171638","17/05/31"
"705545","17/05/31"
"269874","17/05/30"
unexpecteditemFBA11JL7Y0,"17/06/01"
"685672","17/06/06"
"691573","17/06/08"
"691599","17/06/08"
"648373","17/06/13"
"599340","17/06/13"
"648365","17/06/13"
"693433","17/06/13"
"234044","17/06/23"
"219718","17/06/30"
"638031","17/07/04"
"698696","17/07/17"
"557487","17/07/31"
"400865","17/08/01"
"648355","17/08/10"
"599314","17/08/10"
"372855","17/09/06"
"568848","17/09/14"
"648475","17/09/25"
"271819","17/10/04"
"110675","17/10/19"
"112243","17/11/07"
"272041","17/11/07"
"446709","17/11/07"
"119885","17/11/20"
"119887","17/11/20"
"119847","17/11/20"
"119812","17/11/21"
"119076","17/11/27"
"205737","17/11/30"
"223632","17/12/01"
"223633","17/12/01"
"137534","17/12/01"
"137562","17/12/01"
"472366","17/12/20"
"274788","18/01/04"
"119703","18/01/08"
"599275","18/01/11"
"272730","18/01/12"
"256830","18/01/16"
G72501,"18/01/17"
"492497","18/01/17"
"372911","18/01/17"
F02278,"18/01/31"
F02244,"18/01/31"
"0121125","18/02/12"
"582370","18/03/06"
"314114","18/03/07"
"585218","18/03/19"
"424081","18/03/20"
"599276","18/03/22"
"485065","18/04/19"
"474214","18/05/23"
"578761","18/05/28"
"618225","18/07/05"
"198098","18/08/28"
"112470","18/09/20"
"485656","18/10/23"
"608650","19/02/05"
"289260","19/04/26"
"289268","19/04/26"
"289603","19/04/26"
"291117","19/04/26"
"191455","19/04/26"
"493248","19/04/26"
"190339","19/04/26"
"357354","19/04/26"
"189332","19/04/26"
"191568","19/04/26"
"447679","19/04/26"
"198950","19/04/26"
"289131","19/04/26"
"124837","19/04/26"
"216467","19/04/26"
"203033","19/04/26"
"202686","19/04/26"
"542544","19/04/26"
"127812","19/04/26"
