sku,eancode
103658,4011334267720
103661,4011334281771
103662,4011334298625
103663,4011334267744
103665,4011334005476
103666,4011334144656
103667,4011334223634
103668,4011334223641
103669,4011334223658
103670,4011334278597
103671,4011334278603
103673,4011334144663
103674,4011334223665
103675,4011334223672
103676,4011334220978
103677,4011334278443
103678,4011334278450
103679,4011334005568
103681,4011334220985
103683,4011334278467
103684,4011334278474
103687,4011334221005
103688,4011334278481
103689,4011334278498
103690,4011334005643
103692,4011334221012
103693,4011334221029
103694,4011334221036
103695,4011334278429
103696,4011334278436
103697,4011334173731
103698,4011334173748
103699,4011334173755
103700,4011334175612
103701,4011334175629
103702,4011334175636
103707,4011334281894
103708,4011334298601
103709,4011334264354
103711,4011334174066
103712,4011334174073
103713,4011334174080
103714,4011334174158
103715,4011334174165
103716,4011334174172
103718,4011334281900
103719,4011334298588
103720,4011334264378
103731,4011334005988
103735,4011334006022
103747,4011334006145
103751,4011334006183
103755,4011334006220
103756,4011334144694
103757,4011334221043
103758,4011334221050
103759,4011334221067
103760,4011334278504
103761,4011334278511
103762,4011334006480
103763,4011334173045
103764,4011334173052
103765,4011334173069
103766,4011334256830
103767,4011334256847
103768,4011334256854
103770,4011334275619
103771,4011334298564
103772,4011334263074
103774,4011334267751
103775,4011334275626
103776,4011334298540
103777,4011334267768
103779,4011334180630
103780,4011334180623
103781,4011334256861
103782,4011334256878
103783,4011334161318
103784,4011334161325
103785,4011334221074
103786,4011334256885
103787,4011334221081
103788,4011334256892
103789,4011334221098
103790,4011334256908
103791,4011334279013
103792,4011334279006
103793,4011334294153
103794,4011334294160
103805,4011334006572
103810,4011334140474
103816,4011334146445
103822,4011334225768
103823,4011334221135
103824,4011334221142
103825,4011334277101
103826,4011334277095
103845,4011334277125
103846,4011334277118
103847,4011334232483
103848,4011334172987
103849,4011334172994
103850,4011334173007
103851,4011334274711
103852,4011334274728
103853,4011334274735
103854,4011334170358
103855,4011334170365
103856,4011334274742
103857,4011334274759
103858,4011334170372
103859,4011334274766
103864,4011334281924
103865,4011334298410
103866,4011334263807
103869,4011334284253
103870,4011334298397
103871,4011334274674
103873,4011334007258
103874,4011334145493
103875,4011334221166
103876,4011334274773
103877,4011334221173
103878,4011334274780
103879,4011334221180
103880,4011334274797
103881,4011334274803
103882,4011334274810
103883,4011334278160
103884,4011334278177
103885,4011334277149
103886,4011334277132
103915,4011334007364
103916,4011334145363
103917,4011334007432
103918,4011334145189
103919,4011334221197
103920,4011334221203
103921,4011334221210
103922,4011334279075
103923,4011334279068
103924,4011334172239
103925,4011334172284
103926,4011334172314
103928,4011334298373
103929,4011334265467
103931,4011334180531
103932,4011334180524
103948,4011334176459
103949,4011334176466
103950,4011334176473
103951,4011334177111
103952,4011334238683
103953,4011334177128
103955,4011334284260
103956,4011334298328
103957,4011334274513
103959,4011334172932
103960,4011334172956
103961,4011334172963
103962,4011334172758
103963,4011334172772
103964,4011334172796
103965,4011334177142
103966,4011334238690
103967,4011334177159
103968,4011334180517
103969,4011334180500
103970,4011334175438
103971,4011334175445
103972,4011334175452
103973,4011334175391
103974,4011334175407
103975,4011334175414
103977,4011334276029
103978,4011334298304
103979,4011334267843
103981,4011334175360
103982,4011334175377
103983,4011334175384
103985,4011334276036
103986,4011334298281
103987,4011334265481
103989,4011334180494
103990,4011334180487
103997,4011334160120
103998,4011334160137
103999,4011334255642
104000,4011334255659
104001,4011334255840
104003,4011334275596
104004,4011334298267
104005,4011334267867
104007,4011334175476
104008,4011334175483
104009,4011334175490
104010,4011334180470
104011,4011334180463
104014,4011334152712
104015,4011334152729
104016,4011334221227
104017,4011334221234
104018,4011334221241
104019,4011334279099
104020,4011334279082
104021,4011334175506
104022,4011334175513
104023,4011334175520
104025,4011334275589
104026,4011334298243
104027,4011334268772
104029,4011334189053
104030,4011334189060
104031,4011334175322
104032,4011334175339
104033,4011334175346
104035,4011334275350
104036,4011334298229
104037,4011334267881
104039,4011334175247
104040,4011334175261
104041,4011334175285
104059,4011334009214
104060,4011334145448
104061,4011334221258
104062,4011334221265
104063,4011334221272
104064,4011334279112
104065,4011334279105
104073,4011334009290
104074,4011334145387
104075,4011334221319
104076,4011334221326
104077,4011334221333
104078,4011334279150
104079,4011334279143
104080,4011334157328
104081,4011334157335
104097,4011334174783
104098,4011334174790
104099,4011334221340
104100,4011334221357
104101,4011334221364
104102,4011334279174
104103,4011334279167
104105,4011334202745
104108,4011334268796
104109,4011334279198
104110,4011334279181
104111,4011334202752
104112,4011334259886
104113,4011334202769
104114,4011334202776
104117,4011334268819
104118,4011334279211
104119,4011334279204
104120,4011334202783
104121,4011334259992
104122,4011334202790
104123,4011334202806
104126,4011334268833
104127,4011334279440
104128,4011334279457
104129,4011334202813
104130,4011334260059
104131,4011334203179
104132,4011334203186
104135,4011334268857
104136,4011334279433
104137,4011334279426
104138,4011334203193
104139,4011334260042
104140,4011334203209
104141,4011334203216
104144,4011334268871
104145,4011334279471
104146,4011334279464
104147,4011334203223
104148,4011334260028
104149,4011334009481
104150,4011334009498
104151,4011334009504
104152,4011334203230
104153,4011334203247
104156,4011334268895
104157,4011334279495
104158,4011334279488
104159,4011334203254
104160,4011334260004
104161,4011334203261
104162,4011334203278
104163,4011334203285
104164,4011334009511
104165,4011334009528
104166,4011334212706
104167,4011334212713
104168,4011334009535
104169,4011334212881
104170,4011334009542
104171,4011334009559
104172,4011334009566
104173,4011334203292
104174,4011334203308
104177,4011334268918
104178,4011334279518
104179,4011334279501
104180,4011334203315
104181,4011334259824
104182,4011334009573
104183,4011334145219
104184,4011334009580
104186,4011334203322
104187,4011334203339
104190,4011334268932
104191,4011334279532
104192,4011334279525
104193,4011334203346
104194,4011334259923
104195,4011334203384
104196,4011334203391
104197,4011334203407
104198,4011334009641
104199,4011334009658
104200,4011334009665
104201,4011334009672
104202,4011334203414
104203,4011334203421
104204,4011334203438
104205,4011334203476
104206,4011334203483
104209,4011334268956
104210,4011334279556
104211,4011334279549
104212,4011334203490
104213,4011334260073
104214,4011334199892
104215,4011334310990
104217,4011334311539
104218,4011334311546
104219,4011334311522
104221,4011334203506
104222,4011334203513
104225,4011334268987
104226,4011334279570
104227,4011334279563
104228,4011334203520
104229,4011334259909
104230,4011334203537
104231,4011334203544
104234,4011334268994
104235,4011334279594
104236,4011334279587
104237,4011334203551
104238,4011334259978
104239,4011334203568
104240,4011334203575
104243,4011334269014
104244,4011334279617
104245,4011334279600
104246,4011334203582
104247,4011334259961
104249,4011334203605
104252,4011334269038
104253,4011334279631
104254,4011334279624
104255,4011334203612
104256,4011334259947
104257,4011334010456
104258,4011334212874
104259,4011334165446
104260,4011334010463
104261,4011334010470
104262,4011334010487
104263,4011334010494
104268,4011334235804
104269,4011334235811
104270,4011334235828
104271,4011334235835
104272,4011334235842
104273,4011334235859
104274,4011334235866
104285,4011334279655
104286,4011334279648
104287,4011334279679
104288,4011334279662
104289,4011334279693
104290,4011334279686
104291,4011334279716
104292,4011334279709
104293,4011334279730
104294,4011334279723
104295,4011334281528
104296,4011334281511
104297,4011334210979
104298,4011334210962
104300,4011334010548
104301,4011334193463
104302,4011334203629
104303,4011334203636
104306,4011334269069
104307,4011334279778
104308,4011334279761
104309,4011334203643
104310,4011334260097
104311,4011334203650
104312,4011334203667
104315,4011334269083
104316,4011334280378
104317,4011334280361
104318,4011334203674
104319,4011334259893
104320,4011334203681
104321,4011334203698
104324,4011334269106
104325,4011334280392
104326,4011334280385
104328,4011334259848
104329,4011334203711
104330,4011334203728
104333,4011334269120
104334,4011334280415
104335,4011334280408
104336,4011334203735
104337,4011334259862
104338,4011334203742
104339,4011334203759
104340,4011334203766
104341,4011334275046
104342,4011334275053
104345,4011334269144
104346,4011334280439
104347,4011334280422
104348,4011334275060
104350,4011334275077
104351,4011334275084
104353,4011334280507
104354,4011334280491
104355,4011334275091
104356,4011334153764
104360,4011334282945
104361,4011334284277
104362,4011334282938
104364,4011334304043
104366,4011334304036
104367,4011334282952
104369,4011334282853
104370,4011334297802
104371,4011334282846
104373,4011334282877
104374,4011334282884
104375,4011334282860
104376,4011334213536
104382,4011334174967
104383,4011334174943
104384,4011334226161
104385,4011334174950
104386,4011334263166
104387,4011334281931
104388,4011334297741
104389,4011334263173
104390,4011334297758
104391,4011334175087
104392,4011334175124
104393,4011334175131
104394,4011334213543
104400,4011334174141
104401,4011334174097
104402,4011334226178
104403,4011334174110
104404,4011334263180
104405,4011334281948
104406,4011334297727
104407,4011334263197
104408,4011334297734
104409,4011334175155
104410,4011334175162
104411,4011334175179
104412,4011334011514
104413,4011334011521
104414,4011334186571
104415,4011334011538
104416,4011334011545
104417,4011334186588
104418,4011334011552
104419,4011334011569
104420,4011334186595
104421,4011334291817
104422,4011334291824
104428,4011334172475
104429,4011334172451
104430,4011334172468
104432,4011334281955
104433,4011334297710
104434,4011334263210
104435,4011334297703
104436,4011334172505
104437,4011334172529
104438,4011334172543
104439,4011334213550
104445,4011334172635
104446,4011334172581
104447,4011334172611
104448,4011334263227
104449,4011334281962
104450,4011334297680
104451,4011334263234
104452,4011334297697
104453,4011334172680
104454,4011334172673
104455,4011334172710
104458,4011334262527
104461,4011334262565
104462,4011334262558
104464,4011334262589
104470,4011334267928
104472,4011334279792
104481,4011334172802
104482,4011334172765
104483,4011334172789
104484,4011334263241
104485,4011334281979
104486,4011334297673
104487,4011334263258
104489,4011334172864
104490,4011334172826
104491,4011334172871
104492,4011334172918
104493,4011334172895
104494,4011334226185
104495,4011334172901
104496,4011334263289
104497,4011334281986
104498,4011334297642
104499,4011334263296
104500,4011334297659
104501,4011334173151
104502,4011334173144
104503,4011334173175
104504,4011334253730
104505,4011334173250
104506,4011334173229
104507,4011334173236
104508,4011334263302
104509,4011334281993
104510,4011334297635
104511,4011334263319
104512,4011334297628
104513,4011334173274
104514,4011334173267
104515,4011334173281
104516,4011334214816
104517,4011334214823
104518,4011334219095
104519,4011334219101
104520,4011334219118
104521,4011334219125
104522,4011334249146
104523,4011334249153
104524,4011334249160
104525,4011334249177
104526,4011334305255
104527,4011334305262
104528,4011334173342
104529,4011334173328
104530,4011334173335
104531,4011334263326
104532,4011334282006
104533,4011334297604
104534,4011334263333
104536,4011334173397
104537,4011334173380
104538,4011334173403
104539,4011334253747
104540,4011334249306
104541,4011334249313
104542,4011334174707
104543,4011334174660
104544,4011334174684
104546,4011334282013
104547,4011334297581
104548,4011334263357
104550,4011334012931
104551,4011334174592
104552,4011334174615
104553,4011334174639
104554,4011334228035
104555,4011334228042
104556,4011334228059
104557,4011334228066
104558,4011334228073
104559,4011334175049
104560,4011334175032
104561,4011334175056
104562,4011334203919
104563,4011334210375
104564,4011334238706
104565,4011334210382
104566,4011334175025
104567,4011334175001
104568,4011334175018
104569,4011334210344
104570,4011334210351
104571,4011334210368
104576,4011334265023
104577,4011334282020
104578,4011334297567
104580,4011334264408
104583,4011334282037
104584,4011334297543
104585,4011334265504
104589,4011334237228
104590,4011334218821
104591,4011334218838
104592,4011334218845
104593,4011334237235
104594,4011334222118
104595,4011334222125
104596,4011334222132
104598,4011334282044
104599,4011334297529
104600,4011334263395
104602,4011334280521
104603,4011334280514
104604,4011334219262
104605,4011334237136
104606,4011334219279
104607,4011334237242
104608,4011334218852
104609,4011334218869
104610,4011334218876
104611,4011334237259
104612,4011334222149
104613,4011334222156
104614,4011334222163
104615,4011334263401
104616,4011334282051
104617,4011334297499
104618,4011334263418
104619,4011334297505
104620,4011334280545
104621,4011334280538
104622,4011334219248
104623,4011334238713
104624,4011334219255
104630,4011334226925
104631,4011334226932
104632,4011334226949
104633,4011334226956
104634,4011334226963
104641,4011334203926
104642,4011334174998
104643,4011334174974
104644,4011334174981
104645,4011334207498
104646,4011334207504
104647,4011334207511
104651,4011334265030
104652,4011334282068
104653,4011334297475
104654,4011334263425
104657,4011334275978
104658,4011334297451
104659,4011334265528
104661,4011334173687
104662,4011334173694
104663,4011334175292
104664,4011334207351
104665,4011334207368
104666,4011334173656
104667,4011334173663
104668,4011334173670
104673,4011334282075
104674,4011334297437
104675,4011334265542
104678,4011334173472
104679,4011334175230
104680,4011334175254
104682,4011334228134
104708,4011334172246
104709,4011334172253
104710,4011334172260
104711,4011334229490
104712,4011334172208
104713,4011334172215
104714,4011334172222
104719,4011334282082
104720,4011334297413
104721,4011334265566
104723,4011334172178
104724,4011334172185
104725,4011334172192
104730,4011334282099
104731,4011334297390
104732,4011334265580
104734,4011334228240
104735,4011334228257
104736,4011334227144
104737,4011334227151
104738,4011334227168
104754,4011334272274
104755,4011334275749
104756,4011334272281
104757,4011334298885
104758,4011334298878
104759,4011334272298
104760,4011334275732
104761,4011334272304
104762,4011334272311
104763,4011334298908
104764,4011334298892
104770,4011334174844
104771,4011334174851
104772,4011334174868
104773,4011334203933
104774,4011334174271
104775,4011334174295
104776,4011334174301
104777,4011334210436
104778,4011334238737
104779,4011334210443
104780,4011334172147
104781,4011334172154
104782,4011334172161
104783,4011334172116
104784,4011334172123
104785,4011334172130
104786,4011334210405
104787,4011334210412
104788,4011334210429
104793,4011334267935
104794,4011334282105
104795,4011334297376
104796,4011334267942
104797,4011334297383
104798,4011334267959
104799,4011334282112
104800,4011334297352
104801,4011334267966
104805,4011334282129
104806,4011334297338
104807,4011334267980
104810,4011334172062
104811,4011334172079
104812,4011334172086
104813,4011334200512
104814,4011334172031
104815,4011334172048
104816,4011334172055
104818,4011334303084
104819,4011334297307
104820,4011334268000
104845,4011334163459
104846,4011334163435
104848,4011334163442
104857,4011334169796
104859,4011334169819
104868,4011334169734
104870,4011334169017
104872,4011334301141
104873,4011334301271
104874,4011334202431
104875,4011334202462
104876,4011334301158
104877,4011334301288
104883,4011334297284
104899,4011334177456
104900,4011334177463
104902,4011334177487
104910,4011334177524
104911,4011334177531
104913,4011334177555
104929,4011334226741
104930,4011334226758
104931,4011334301165
104932,4011334301295
104933,4011334195054
104934,4011334195115
104935,4011334195078
104936,4011334222248
104937,4011334222255
104938,4011334222262
104958,4011334189275
104960,4011334189282
104964,4011334193029
104965,4011334193036
104966,4011334193098
104967,4011334193050
104968,4011334193104
104969,4011334227236
104970,4011334227243
104971,4011334227250
104972,4011334204794
104973,4011334204800
104974,4011334204862
104975,4011334204824
104976,4011334204879
104977,4011334227267
104978,4011334227274
104979,4011334227281
104980,4011334207382
104981,4011334207399
104982,4011334207405
104983,4011334198925
104984,4011334171744
104985,4011334265597
104986,4011334212553
104987,4011334212560
104990,4011334288886
104992,4011334288909
104993,4011334288916
104994,4011334288923
104995,4011334288930
104996,4011334288947
104997,4011334288954
105009,4011334275985
105010,4011334297260
105011,4011334274247
105024,4011334193234
105025,4011334193241
105026,4011334193258
105031,4011334276005
105032,4011334297246
105033,4011334265610
105035,4011334193357
105036,4011334193371
105037,4011334193265
105038,4011334193272
105039,4011334193289
105044,4011334276012
105045,4011334297222
105046,4011334265634
105048,4011334193388
105049,4011334193395
105050,4011334193197
105051,4011334222316
105052,4011334222323
105054,4011334222330
105055,4011334280583
105056,4011334280576
105057,4011334193210
105058,4011334222347
105059,4011334222354
105060,4011334193227
105061,4011334222361
105062,4011334280606
105063,4011334280590
105076,4011334193401
105077,4011334194965
105078,4011334193418
105079,4011334193425
105080,4011334194972
105081,4011334193432
105091,4011334015758
105092,4011334015765
105093,4011334186724
105094,4011334015772
105095,4011334015789
105096,4011334186717
105105,4011334015819
105106,4011334015826
105107,4011334186601
105108,4011334015833
105110,4011334186618
105111,4011334015857
105113,4011334186649
105114,4011334015871
105115,4011334015888
105116,4011334186656
105117,4011334015895
105119,4011334186663
105120,4011334016298
105121,4011334016304
105122,4011334186687
105123,4011334016311
105124,4011334016328
105125,4011334186670
105126,4011334016335
105127,4011334016342
105128,4011334186625
105129,4011334203940
105131,4011334203957
105132,4011334016595
105133,4011334016601
105134,4011334186694
105135,4011334016618
105136,4011334016625
105137,4011334186700
105140,4011334000273
105141,4011334000228
105142,4011334000167
105145,4011334001195
105146,4011334000266
105147,4011334000211
105148,4011334016656
105150,4011334000419
105151,4011334000235
105152,4011334000174
105154,4011334145592
105155,4011334001119
105156,4011334000242
105157,4011334000198
105160,4011334001157
105161,4011334000259
105162,4011334000204
105163,4011334219293
105164,4011334219286
105165,4011334016984
105166,4011334303916
105167,4011334303923
105169,4011334195498
105170,4011334195504
105171,4011334017110
105173,4011334017134
105174,4011334017141
105175,4011334017158
105177,4011334017172
105178,4011334017189
105179,4011334283119
105180,4011334017196
105181,4011334145639
105182,4011334222378
105183,4011334222385
105184,4011334222392
105185,4011334222408
105186,4011334222415
105187,4011334222422
105188,4011334210306
105189,4011334210313
105190,4011334278221
105191,4011334278238
105192,4011334277187
105193,4011334277170
105195,4011334225195
105196,4011334222439
105197,4011334145684
105198,4011334222446
105199,4011334225294
105200,4011334278283
105201,4011334277200
105202,4011334277194
105203,4011334017288
105204,4011334145646
105205,4011334222453
105206,4011334222460
105207,4011334222477
105208,4011334278269
105209,4011334278276
105210,4011334017325
105211,4011334145660
105212,4011334222484
105213,4011334222491
105214,4011334222507
105215,4011334277224
105216,4011334277217
105219,4011334222514
105220,4011334222521
105221,4011334222538
105222,4011334278245
105223,4011334278252
105226,4011334222552
105227,4011334222545
105228,4011334222569
105229,4011334278344
105230,4011334278351
105233,4011334220831
105234,4011334220848
105235,4011334220855
105236,4011334277248
105237,4011334277231
105238,4011334017486
105239,4011334145578
105240,4011334225201
105241,4011334220879
105242,4011334225218
105243,4011334277262
105244,4011334277255
105245,4011334017523
105246,4011334145691
105247,4011334226192
105248,4011334226208
105249,4011334226215
105250,4011334277286
105251,4011334277279
105252,4011334017530
105253,4011334017547
105254,4011334186632
105255,4011334017578
105256,4011334144755
105257,4011334220886
105258,4011334220893
105259,4011334220909
105260,4011334278146
105261,4011334278153
105262,4011334017615
105263,4011334144762
105264,4011334220916
105265,4011334220923
105266,4011334220930
105267,4011334278139
105268,4011334278122
105269,4011334170327
105270,4011334170334
105271,4011334170341
105272,4011334173168
105273,4011334173182
105274,4011334173205
105279,4011334282167
105280,4011334297208
105281,4011334264446
105283,4011334170297
105284,4011334170303
105285,4011334170310
105286,4011334173106
105287,4011334173113
105288,4011334173120
105293,4011334282174
105294,4011334297185
105295,4011334264460
105297,4011334146551
105298,4011334153160
105299,4011334178767
105300,4011334178774
105301,4011334220954
105302,4011334221760
105303,4011334221777
105304,4011334280644
105305,4011334280637
105306,4011334178804
105307,4011334178811
105308,4011334178828
105313,4011334275992
105314,4011334297178
105315,4011334268048
105317,4011334178842
105318,4011334178835
105319,4011334210320
105320,4011334210337
105321,4011334221814
105322,4011334221821
105323,4011334221838
105327,4011334278375
105328,4011334278382
105330,4011334321415
105331,4011334321422
105332,4011334321316
105333,4011334321309
105334,4011334232520
105335,4011334232537
105336,4011334232544
105338,4011334195382
105339,4011334195399
105341,4011334265658
105343,4011334265672
105345,4011334265696
105346,4011334232551
105349,4011334265719
105353,4011334277309
105354,4011334277293
105355,4011334256595
105356,4011334256601
105357,4011334245056
105358,4011334278207
105359,4011334278214
105360,4011334282730
105361,4011334282747
105362,4011334293316
105363,4011334293323
105364,4011334293330
105365,4011334294757
105366,4011334293750
105367,4011334293767
105368,4011334293774
105369,4011334293781
105370,4011334293798
105371,4011334293804
105372,4011334293811
105373,4011334293828
105374,4011334293835
105375,4011334293842
105376,4011334304371
105377,4011334293859
105378,4011334293866
105380,4011334293880
105381,4011334293897
105383,4011334293910
105384,4011334293927
105386,4011334293941
105387,4011334293958
105390,4011334293972
105391,4011334293989
105393,4011334294009
105394,4011334294016
105396,4011334294030
