"attribute_code","frontend_label","frontend_input","is_visible_on_front","is_user_defined","is_required"
"anzahl_der_digitalen_ausgaenge","Anzahl der digitalen Ausgänge","select","1","1","0"
"anzahl_der_digitalen_eingaenge","Anzahl der digitalen Eingänge","select","1","1","0"
"anzahl_der_din_schienen","Anzahl der DIN-Schienen","select","1","1","0"
"anzahl_der_display_zeilen","Anzahl der Display-Zeilen","select","1","1","0"
"anzahl_der_dreifachen_oeffnung","Anzahl der dreifachen Öffnungen","select","1","1","0"
"anzahl_der_einbaubaren_anschlu","Anzahl der einbaubaren Anschlussleisten","select","1","1","0"
"anzahl_der_einbaubaren_geraete","Anzahl der einbaubaren Geräte","select","1","1","0"
"anzahl_der_einfachen_oeffnunge","Anzahl der einfachen Öffnungen","select","1","1","0"
"anzahl_der_einfuehrungen","Anzahl der Einführungen","select","1","1","0"
"anzahl_der_eingaenge","Anzahl der Eingänge","select","1","1","0"
"anzahl_der_einheiten","Anzahl der Einheiten","select","1","1","0"
"anzahl_der_einlegbaren_cds","Anzahl der einlegbaren CDs","select","1","1","0"
"anzahl_der_einlegbaren_dvds","Anzahl der einlegbaren DVDs","select","1","1","0"
"anzahl_der_einzeldraehte","Anzahl der Einzeldrähte","select","1","1","0"
"anzahl_der_elektrischen_anschl","Anzahl der elektrischen Anschlüsse","select","1","1","0"
"anzahl_der_elektrodeneingaenge","Anzahl der Elektrodeneingänge","select","1","1","0"
"anzahl_der_elektrosensoren","Anzahl der Elektrosensoren","select","1","1","0"
"anzahl_der_etagen","Anzahl der Etagen","select","1","1","0"
"anzahl_der_fasern","Anzahl der Fasern","select","1","1","0"
"anzahl_der_fehlersignalschalte","Anzahl der Fehlersignalschalter","select","1","1","0"
"anzahl_der_flaschen_zur_lageru",""Anzahl der Flaschen zur Lagerung (0","75 l Bordeaux)"","select","1","1","0"
"anzahl_der_funktionen","Anzahl der Funktionen","select","1","1","0"
"anzahl_der_geblaesestufen","Anzahl der Gebläsestufen","select","1","1","0"
"anzahl_der_gebrueckten_klemmen","Anzahl der gebrückten Klemmen","select","1","1","0"
"anzahl_der_gelenke","Anzahl der Gelenke","select","1","1","0"
"anzahl_der_geraetebecher","Anzahl der Gerätebecher","select","1","1","0"
"anzahl_der_geraeteeinheiten","Anzahl der Geräteeinheiten","select","1","1","0"
"anzahl_der_geschwindigkeitsstu","Anzahl der Geschwindigkeitsstufen","select","1","1","0"
"anzahl_der_gruppen","Anzahl der Gruppen","select","1","1","0"
"anzahl_der_gruppenphasen","Anzahl der Gruppen/Phasen","select","1","1","0"
"anzahl_der_hdmi_anschluesse","Anzahl der HDMI-Anschlüsse","select","1","1","0"
"anzahl_der_heizstufen","Anzahl der Heizstufen","select","1","1","0"
"anzahl_der_hilfskontakte_als_o","Anzahl der Hilfskontakte als Öffner","select","1","1","0"
"anzahl_der_hilfskontakte_als_s","Anzahl der Hilfskontakte als Schließer","select","1","1","0"
"anzahl_der_hilfskontakte_als_w","Anzahl der Hilfskontakte als Wechsler","select","1","1","0"
"anzahl_der_hoeheneinheiten_he","Anzahl der Höheneinheiten (HE)","select","1","1","0"
"anzahl_der_kabelrohre","Anzahl der Kabel/Rohre","select","1","1","0"
"anzahl_der_kameras","Anzahl der Kameras","select","1","1","0"
"anzahl_der_kanaele","Anzahl der Kanäle","select","1","1","0"
"anzahl_der_klemmstellen","Anzahl der Klemmstellen","select","1","1","0"
"anzahl_der_klingeltasten","Anzahl der Klingeltasten","select","1","1","0"
"anzahl_der_kochstellen","Anzahl der Kochstellen","select","1","1","0"
"anzahl_der_kontakte_als_oeffne","Anzahl der Kontakte als Öffner","select","1","1","0"
"anzahl_der_kontakte_als_schlie","Anzahl der Kontakte als Schließer","select","1","1","0"
"anzahl_der_kontakte_als_wechsl","Anzahl der Kontakte als Wechsler","select","1","1","0"
"anzahl_der_laderegelkreise","Anzahl der Laderegelkreise","select","1","1","0"
"anzahl_der_leistungsstufen","Anzahl der Leistungsstufen","select","1","1","0"
"anzahl_der_leiter","Anzahl der Leiter","select","1","1","0"
"anzahl_der_libellen","Anzahl der Libellen","select","1","1","0"
"anzahl_der_massagestufen","Anzahl der Massagestufen","select","1","1","0"
"anzahl_der_meldegruppen","Anzahl der Meldegruppen","select","1","1","0"
"anzahl_der_modulplaetze","Anzahl der Modulplätze","select","1","1","0"
"anzahl_der_modulslots","Anzahl der Modulslots","select","1","1","0"
"anzahl_der_oeffner","Anzahl der Öffner","select","1","1","0"
"anzahl_der_oeffner_als_hauptko","Anzahl der Öffner als Hauptkontakte","select","1","1","0"
"anzahl_der_paare","Anzahl der Paare","select","1","1","0"
"anzahl_der_pfaennchen","Anzahl der Pfännchen","select","1","1","0"
"anzahl_der_phasen","Anzahl der Phasen","select","1","1","0"
"anzahl_der_pins","Anzahl der Pins","select","1","1","0"
"anzahl_der_pole","Anzahl der Pole","select","1","1","0"
"anzahl_der_positionen","Anzahl der Positionen","select","1","1","0"
"anzahl_der_programme","Anzahl der Programme","select","1","1","0"
"anzahl_der_programmspeicherpla","Anzahl der Programmspeicherplätze","select","1","1","0"
"anzahl_der_reihen","Anzahl der Reihen","select","1","1","0"
"anzahl_der_relais","Anzahl der Relais","select","1","1","0"
"anzahl_der_rippen","Anzahl der Rippen","select","1","1","0"
"anzahl_der_ruftasten","Anzahl der Ruftasten","select","1","1","0"
"anzahl_der_schalteingaenge","Anzahl der Schalteingänge","select","1","1","0"
"anzahl_der_schaltstellungen","Anzahl der Schaltstellungen","select","1","1","0"
"anzahl_der_schaltstufen","Anzahl der Schaltstufen","select","1","1","0"
"anzahl_der_schliesser","Anzahl der Schließer","select","1","1","0"
"anzahl_der_schliesser_als_haup","Anzahl der Schließer als Hauptkontakte","select","1","1","0"
"anzahl_der_schluessel","Anzahl der Schlüssel","select","1","1","0"
"anzahl_der_schrauben","Anzahl der Schrauben","select","1","1","0"
"anzahl_der_schuko_steckdosen","Anzahl der SCHUKO-Steckdosen","select","1","1","0"
"anzahl_der_seriellen_schnittst","Anzahl der seriellen Schnittstellen","select","1","1","0"
"anzahl_der_sicherheitsgerichte","Anzahl der sicherheitsgerichteten Hilfskontakte","select","1","1","0"
"anzahl_der_sicherungen","Anzahl der Sicherungen","select","1","1","0"
"anzahl_der_signalsaeulenelemen","Anzahl der Signalsäulenelemente","select","1","1","0"
"anzahl_der_sonstigen_steckdose","Anzahl der sonstigen Steckdosen","select","1","1","0"
