sku,qty,is_in_stock
625824,0.0000,1
625825,0.0000,1
625826,0.0000,1
625827,0.0000,1
625828,0.0000,1
625829,0.0000,1
625830,0.0000,1
625831,0.0000,1
625832,0.0000,1
625833,0.0000,1
625834,0.0000,1
625835,0.0000,1
625836,0.0000,1
625837,0.0000,1
625838,0.0000,1
625839,0.0000,1
625840,0.0000,1
625841,0.0000,1
625842,0.0000,1
625843,0.0000,1
625844,0.0000,1
625845,0.0000,1
625846,0.0000,1
625847,0.0000,1
625848,0.0000,1
625849,0.0000,1
625850,0.0000,1
625851,0.0000,1
625852,0.0000,1
625853,0.0000,1
625854,0.0000,0
625855,0.0000,0
625857,0.0000,0
625859,0.0000,1
625861,0.0000,0
625862,0.0000,0
625863,0.0000,0
625865,0.0000,0
625867,0.0000,0
625869,0.0000,0
625871,0.0000,0
625872,0.0000,0
625873,0.0000,0
625874,0.0000,0
625875,0.0000,0
625876,0.0000,0
625887,0.0000,0
625893,0.0000,0
625895,0.0000,1
625896,0.0000,1
625897,0.0000,1
625898,0.0000,1
625899,0.0000,1
625900,0.0000,1
625901,0.0000,1
625902,0.0000,1
625904,0.0000,1
625905,0.0000,1
625906,0.0000,1
625907,0.0000,1
625908,0.0000,1
625909,0.0000,1
625910,0.0000,1
625911,0.0000,1
625912,0.0000,1
625913,0.0000,1
625914,0.0000,1
625915,0.0000,1
625916,0.0000,1
625917,0.0000,1
625918,0.0000,1
625919,0.0000,1
625920,0.0000,1
625921,0.0000,1
625922,0.0000,1
625923,0.0000,1
625924,0.0000,1
625925,0.0000,1
625926,0.0000,1
625927,0.0000,1
625928,0.0000,1
625929,0.0000,1
625930,0.0000,1
625931,0.0000,1
625932,0.0000,1
625933,0.0000,1
625936,0.0000,1
625937,0.0000,1
625938,0.0000,1
625939,0.0000,1
625940,0.0000,1
625941,0.0000,1
625942,0.0000,1
625943,0.0000,1
625944,0.0000,1
625945,0.0000,1
625946,0.0000,1
625947,0.0000,1
625948,0.0000,1
625949,0.0000,1
625950,0.0000,1
625951,0.0000,1
625952,0.0000,1
625953,0.0000,1
625954,0.0000,1
625955,0.0000,1
625956,0.0000,1
625957,0.0000,1
625958,0.0000,1
625959,0.0000,1
625960,0.0000,1
625961,0.0000,1
625962,0.0000,1
625963,0.0000,1
625964,0.0000,1
625965,0.0000,1
625966,0.0000,1
625967,0.0000,1
625968,0.0000,1
625969,0.0000,1
625970,0.0000,1
625971,0.0000,1
625972,0.0000,1
625973,0.0000,1
625974,0.0000,1
625975,0.0000,1
625976,0.0000,1
625977,0.0000,0
625978,0.0000,1
625979,0.0000,1
625980,0.0000,1
625981,0.0000,1
625982,0.0000,1
625983,0.0000,1
625984,0.0000,1
625985,0.0000,1
625986,0.0000,1
625987,0.0000,1
625988,0.0000,1
625989,0.0000,1
625990,0.0000,1
625991,0.0000,1
625992,0.0000,1
625993,0.0000,1
625994,0.0000,1
625995,0.0000,1
625996,0.0000,1
625997,0.0000,1
625998,0.0000,1
625999,0.0000,1
626000,0.0000,1
626001,0.0000,1
626002,0.0000,1
626003,0.0000,1
626004,0.0000,1
626005,0.0000,1
626006,0.0000,1
626007,0.0000,1
626008,0.0000,1
626009,0.0000,1
626010,0.0000,1
626011,0.0000,1
626012,0.0000,1
626013,0.0000,1
626015,0.0000,1
626017,0.0000,1
626019,0.0000,1
626021,0.0000,1
626022,0.0000,1
626023,0.0000,1
626024,0.0000,1
626026,0.0000,1
626027,0.0000,1
626028,0.0000,1
626029,0.0000,1
626031,0.0000,1
626032,0.0000,1
626033,0.0000,1
626034,0.0000,1
626035,0.0000,1
626037,0.0000,1
626038,0.0000,1
626039,0.0000,1
626040,0.0000,1
626041,0.0000,1
626042,0.0000,1
626043,0.0000,1
626044,0.0000,1
626045,0.0000,1
626046,0.0000,1
626047,0.0000,1
626048,0.0000,1
626049,0.0000,1
626050,0.0000,1
626051,0.0000,1
626052,0.0000,1
626053,0.0000,1
626054,0.0000,1
626055,0.0000,1
626056,0.0000,1
626058,0.0000,1
626059,0.0000,1
626060,0.0000,1
626061,0.0000,1
626062,0.0000,1
626063,0.0000,1
626064,0.0000,1
626065,0.0000,1
626066,0.0000,1
626067,0.0000,1
626068,0.0000,1
626070,0.0000,1
626071,0.0000,1
626072,0.0000,1
626073,0.0000,1
626074,0.0000,1
626075,0.0000,1
